plot.year,treatment,year,Acer.saccharum,Acer.rubrum,Pyrola.elliptica,Taraxacum,Sorbus.americana,Ajuga.reptans,Arisaema.triphyllum,Parthenocissus.inserta,Prunus.virginiana,Fraxinus.pennsylvanica,Hieracium,Viola.sororia,Quercus.rubra,Lysimachia.borealis,Abies.balsamea,Solanum.dulcamara,Equisetum.arvense,Galium,Fallopia.cilinodis,Rubus.canadensis,Maianthemum.racemosum,Maianthemum.canadense,Lonicera.canadensis,Betula.alleghaniensis,Alliaria.petiolata,Viburnum.prunifolium,Acer.spicatum,Viburnum.opulus,Cornus.alternifolia,Dryopteris.carthusiana,Picea.mariana,Carex,Vinca.minor
AU-In-1.2020,invaded,2020,0,3.846153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.15384615
AU-Ed-1.2020,edge,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
AU-Un-1.2020,uninvaded,2020,5.791505792,0,0,0,0,0,0,0,77.22007722,0,11.58301158,4.633204633,0.772200772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU-In-2.2020,invaded,2020,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
AU-Ed-2.2020,edge,2020,9.836065574,0.546448087,0,0,0,0,0,0,2.18579235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.43169399
AU-Un-2.2020,uninvaded,2020,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU-In-3.2020,invaded,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
AU-Ed-3.2020,edge,2020,3.069466882,0,0,0,0,0,0,0,56.54281099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.38772213
AU-Un-3.2020,uninvaded,2020,88.07749627,0,0,0,0,0,0,0,11.92250373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU-In-4.2020,invaded,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
AU-Ed-4.2020,edge,2020,0.71942446,0,0,0,0,0,0,0,7.194244604,0,0,0,0,2.877697842,2.877697842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.33093525
AU-Un-4.2020,uninvaded,2020,0,0,0,0,0,0,0,0,0.636942675,0,0,0,0,0,0,95.54140127,3.184713376,0.636942675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
