Site,plottype,Plot,Field_collection_date,Organic_Matter,logOrganic_Matter,Phosphorus_Bicarb,logPhosphorus_Bicarb,PBray,logPBray,Potassium,Magnesium,Calcium,Sodium,logpH,pH,Buffer_pH,CEC_meq,K,mg,logca,ca,h,logna,na,S_ppm,Zn_ppm,logZn_ppm,logMn_ppm,Mn_ppm,Fe_ppm,logCu_ppm,Cu_ppm,logB_ppm,B_ppm,Saturation_p_percent,Al_ppm,Saturation_Al_percent,K_Mg_Ratio,logENR,ENR,CN_ratio
AlgomaU,edge,AUED3,21-Sep-23,11.5,1.06,21,1.32,37,1.57,90,75,830,8,0.72,5.2,6.4,18.5,1.1,3.7,1.695481676,49.6,45.2,-0.52,0.3,11,4.6,0.66,1.69,49,78,-0.22,0.6,-0.7,0.2,6,761,1.3,0.3,2.05,112,20
AlgomaU,edge,AUED8,21-Sep-23,4,0.6,16,1.2,34,1.53,58,92,640,9,0.71,5.1,6.2,9.4,2.1,8.8,1.5774918,37.8,50.9,-0.4,0.4,8,5.9,0.77,1.36,23,81,-0.3,0.5,-0.7,0.2,14,406,2.9,0.24,1.72,52,17.3
AlgomaU,edge,AUED9,21-Sep-23,27.7,1.44,23,1.36,47,1.67,87,117,1010,9,0.72,5.2,6,14,1.6,7.9,1.748188027,56,34.2,-0.7,0.2,10,9.8,0.99,1.65,45,54,-0.4,0.4,-0.52,0.3,5,153,0.5,0.2,2.05,112,20.7
AlgomaU,uninvaded,AUUN1,21-Sep-23,7,0.85,21,1.32,46,1.66,73,65,380,9,0.63,4.3,5.8,14.4,1.2,3.7,1.29666519,19.8,75,-0.52,0.3,10,7.4,0.87,1.46,29,100,-0.1,0.8,-1,0.1,11,723,2.9,0.32,1.92,83,15.6
AlgomaU,uninvaded,AUUN2,21-Sep-23,8.3,0.92,21,1.32,37,1.57,90,75,830,8,0.72,5.2,6.4,12.2,1.9,5.1,1.530199698,33.9,58.8,-0.52,0.3,10,16.7,1.22,1.48,30,90,0.04,1.1,-0.7,0.2,13,383,1,0.37,1.98,96,15.8
AlgomaU,uninvaded,AUUN3,21-Sep-23,8.1,0.91,16,1.2,34,1.53,58,92,640,9,0.71,5.1,6.2,13.7,1.1,5.6,1.367355921,23.3,69.8,-0.52,0.3,6,7.3,0.86,1.23,17,75,-0.22,0.6,-1,0.1,17,252,0.7,0.2,1.97,94,17.6
AlgomaU,uninvaded,AUUN8,21-Sep-23,10.1,1,23,1.36,47,1.67,87,117,1010,9,0.72,5.2,6,18.3,1.2,5.3,1.440909082,27.6,65.6,-0.7,0.2,6,12.6,1.1,1.6,40,95,-0.1,0.8,-0.7,0.2,16,387,0.7,0.23,2.05,112,18
AlgomaU,uninvaded,AUUN9,21-Sep-23,6.4,0.81,21,1.32,46,1.66,73,65,380,9,0.63,4.3,5.8,17.1,1.1,3.2,1.045322979,11.1,84.4,-0.7,0.2,5,6.9,0.84,1.11,13,86,-0.4,0.4,-1,0.1,13,450,3.3,0.34,1.89,77,17
AlgomaU,invaded,AUIN2,21-Sep-23,9.6,0.98,38,1.58,84,1.92,33,76,900,10,0.69,4.9,5.9,18.5,0.5,3.4,1.387389826,24.4,71.5,-0.7,0.2,10,15.2,1.18,1.48,30,103,0.11,1.3,-1,0.1,9,1206,3.2,0.15,2.04,109,19.3
AlgomaU,invaded,AUIN6,21-Sep-23,2.9,0.46,14,1.15,23,1.36,73,93,1560,10,0.85,7,,10.1,1.9,7.7,1.887054378,77.1,12.9,-0.4,0.4,8,5.5,0.74,1.85,70,78,-0.22,0.6,-0.52,0.3,2,831,0.2,0.25,1.61,41,16.4
AlgomaU,invaded,AUIN7,21-Sep-23,15.1,1.18,25,1.4,55,1.74,94,132,1220,14,0.62,4.2,5.8,21.9,1.1,5,1.445604203,27.9,65.7,-0.52,0.3,17,26.6,1.42,2.15,141,100,-0.05,0.9,-1,0.1,13,559,3.7,0.22,2.05,112,
AlgomaU,invaded,AUIN9,21-Sep-23,19.1,1.28,19,1.28,53,1.72,119,118,1210,11,0.61,4.1,5.9,20.6,1.5,4.8,1.46834733,29.4,64.1,-0.7,0.2,16,11.9,1.08,1.6,40,68,-0.4,0.4,-0.7,0.2,30,223,1.9,0.31,2.05,112,
AlgomaU,invaded,AUIN10,21-Sep-23,9.4,0.97,20,1.3,41,1.61,83,115,1100,8,0.64,4.4,6,18.7,1.1,5.1,1.46834733,29.4,64.1,-0.7,0.2,14,10.4,1.02,1.71,51,69,-0.4,0.4,-0.7,0.2,17,304,1.7,0.22,2.03,107,
AlgomaU,edge,AUED1,21-Sep-23,5.8,0.76,23,1.36,48,1.68,66,71,490,10,0.66,4.6,6.2,12.8,1.3,4.6,1.281033367,19.1,74.7,-0.52,0.3,7,6.5,0.81,1.45,28,82,-0.22,0.6,-1,0.1,13,489,3,0.28,1.85,71,
