potid,speciesid,colour,longestleaflength_cm,loglongestleaflength_cm,height_cm,logheight_cm,num_leaves,lognum_leaves,observer,date,sampledate,graphdate,shadetreatment,invasiontreatment,season,treatment
1,bindweed,green,1,0,1,0,1,0,david,5/24/2023,5/24/2023,24-May,normal,invaded,early,normalinvaded
1,commonplantain,red,0.8,-0.096910013,,,,,david,5/24/2023,5/24/2023,24-May,normal,invaded,early,normalinvaded
1,commonplantain,yellow,0.7,-0.15490196,,,,,david,5/24/2023,5/24/2023,24-May,normal,invaded,early,normalinvaded
1,commonplantain,blue,0.5,-0.301029996,,,,,david,5/24/2023,5/24/2023,24-May,normal,invaded,early,normalinvaded
1,hempnettle,yellow,4.3,0.633468456,1,0,8,0.903089987,david,5/24/2023,5/24/2023,24-May,normal,invaded,early,normalinvaded
1,hempnettle,blue,1.9,0.278753601,1.3,0.113943352,6,0.77815125,david,5/24/2023,5/24/2023,24-May,normal,invaded,early,normalinvaded
1,hempnettle,green,4.7,0.672097858,1.3,0.113943352,8,0.903089987,david,5/24/2023,5/24/2023,24-May,normal,invaded,early,normalinvaded
1,maple,green,1.5,0.176091259,1.7,0.230448921,2,0.301029996,david,5/24/2023,5/24/2023,24-May,normal,invaded,early,normalinvaded
1,maple,blue,1,0,3,0.477121255,2,0.301029996,david,5/24/2023,5/24/2023,24-May,normal,invaded,early,normalinvaded
1,troutlily,yellow,5.5,0.740362689,,,,,david,5/24/2023,5/24/2023,24-May,normal,invaded,early,normalinvaded
1,troutlily,green,5.5,0.740362689,,,,,david,5/24/2023,5/24/2023,24-May,normal,invaded,early,normalinvaded
1,troutlily,red,3.5,0.544068044,,,,,david,5/24/2023,5/24/2023,24-May,normal,invaded,early,normalinvaded
2,bindweed,yellow,0.1,-1,0.1,-1,1,0,cathy,5/24/2023,5/24/2023,24-May,normal,uninvaded,early,normaluninvaded
2,commonplantain,blue,0.5,-0.301029996,,,4,0.602059991,cathy,5/24/2023,5/24/2023,24-May,normal,uninvaded,early,normaluninvaded
2,commonplantain,green,0.5,-0.301029996,,,4,0.602059991,cathy,5/24/2023,5/24/2023,24-May,normal,uninvaded,early,normaluninvaded
2,commonplantain,yellow,0.6,-0.22184875,,,4,0.602059991,cathy,5/24/2023,5/24/2023,24-May,normal,uninvaded,early,normaluninvaded
2,hempnettle,yellow,0.5,-0.301029996,0.5,-0.301029996,4,0.602059991,cathy,5/24/2023,5/24/2023,24-May,normal,uninvaded,early,normaluninvaded
2,hempnettle,green,0.3,-0.522878745,0.3,-0.522878745,4,0.602059991,cathy,5/24/2023,5/24/2023,24-May,normal,uninvaded,early,normaluninvaded
