potid,Verbascum_thapsus,Plantago_major,Veronica_officinalis,Taraxacum_spp.,Fallopia_cilinodis,grass,Galeopsis_tetrahit,Ranunculus_abortivus,acer_sacharrum,Gnaphalium_uliginosum,Cerastium_fontanum,Prunus_pensylvanica,rubus_idaeus_var._strigosus,Plantago_minor,Potentilla_norvegica,Hypericum_perforatum,Viola_sororia,Clinopodium_vulgare,Hieracium_spp.,Chenopodium_album,Acer_spp.,Viola_spp.,Sonchus_oleraceus,Erigeron_canadensis,Geum_spp.,Leucanthemum_vulgare,Senecio_vulgaris,Oenothera_biennis,Eurybia_macrophylla,Barbarea_vulgaris,Erigeron_annuus,Solidago_spp.,pinus_spp.,Polygonum_aviculare,Cardamine_spp.,Solanum_americanum,Rorippa_sylvestris,oxalis_stricta,Eurybia_divaricata,Persicaria_lapathifolia,Sorbus_sp.,Rumex_altissimus,Fragaria_vesca,Acer_negundo,Pseudognaphalium_obtusifolium,Trifolium_hybridum,Veronica_serpyllifolia,Epilobium_ciliatum,Vinca_minor_
pot1,0.013986014,0.006993007,0.006993007,0.006993007,0.006993007,0.629370629,0.006993007,0.006993007,0.020979021,0.006993007,0.006993007,0.020979021,0.006993007,0.006993007,0.006993007,0.195804196,0.034965035,0.006993007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pot2,0.01459854,0.00729927,0,0,0.167883212,0.547445255,0.145985401,0,0,0,0.00729927,0,0.00729927,0,0.01459854,0.02189781,0,0,0.01459854,0.00729927,0.00729927,0.00729927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02919708
pot3,0,0.018518519,0.027777778,0,0.259259259,0.185185185,0.37037037,0,0,0,0.009259259,0,0.027777778,0,0.009259259,0.027777778,0,0.009259259,0.009259259,0.009259259,0,0.018518519,0.009259259,0.009259259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pot4,0.102362205,0.007874016,0.141732283,0.047244094,0.078740157,0.023622047,0.236220472,0,0,0,0.007874016,0,0.007874016,0,0,0.007874016,0,0,0,0,0.007874016,0.015748031,0.062992126,0,0.007874016,0.015748031,0.078740157,0.007874016,0.070866142,0.023622047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047244094
pot5,0.01183432,0.017751479,0.00591716,0,0.047337278,0.473372781,0.207100592,0,0,0,0.017751479,0,0.023668639,0.01183432,0.029585799,0.017751479,0,0,0,0.00591716,0.00591716,0,0.00591716,0,0,0,0,0,0.029585799,0.00591716,0.00591716,0.00591716,0.00591716,0.023668639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041420118
pot6,0,0.024096386,0.006024096,0,0.060240964,0.572289157,0,0,0,0.006024096,0.012048193,0,0.018072289,0.006024096,0.138554217,0.012048193,0,0,0,0,0.006024096,0.030120482,0,0,0.006024096,0,0.006024096,0,0,0.030120482,0,0,0.054216867,0,0.006024096,0.006024096,0,0,0,0,0,0,0,0,0,0,0,0,0
pot7,0,0,0,0,0.779816514,0.036697248,0.009174312,0,0,0,0,0,0.018348624,0,0,0,0,0,0,0,0,0.137614679,0,0,0.009174312,0,0,0,0,0,0,0,0.009174312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pot8,0.011363636,0.056818182,0.011363636,0.022727273,0.068181818,0.454545455,0.170454545,0,0,0.011363636,0.022727273,0,0.022727273,0.011363636,0,0.011363636,0,0.011363636,0,0,0.011363636,0.011363636,0,0.011363636,0.011363636,0,0,0,0,0,0,0,0,0,0,0,0.011363636,0,0,0,0,0,0,0,0,0,0,0,0.056818182
pot9,0.007462687,0.037313433,0.014925373,0,0.074626866,0.597014925,0.111940299,0,0,0,0.014925373,0,0.007462687,0,0.037313433,0.007462687,0,0.007462687,0,0.007462687,0,0.014925373,0.007462687,0.007462687,0.007462687,0,0.007462687,0,0,0,0.007462687,0,0,0,0.007462687,0,0,0.014925373,0,0,0,0,0,0,0,0,0,0,0
pot10,0.088757396,0.029585799,0.00591716,0.088757396,0.029585799,0.414201183,0.177514793,0,0,0,0.00591716,0.029585799,0,0.029585799,0.029585799,0.01183432,0,0.00591716,0.00591716,0,0.00591716,0,0,0,0,0,0,0,0,0,0,0.00591716,0,0,0.00591716,0,0,0,0.023668639,0,0.00591716,0,0,0,0,0,0,0,0
