potid,simpsonsdiversitystem,shannondiversitystem,simpsonsdiversitypercent,shannondiversitypercent,shade,invasion,,,,,,
pot1,0.866213,2.1365071,0.5626681,1.3662729,normal,invaded,,,,,,
pot2,0.796875,1.749779,0.6485162,1.4977728,normal,uninvaded,,,,,,
pot3,0.8672,2.192476,0.757716,1.7799863,early,invaded,,,,,,
pot4,0.8257888,1.9001843,0.8857338,2.4761982,none,invaded,,,,,,
pot5,0.9030612,2.4718384,0.7246945,1.9044487,none,uninvaded,,,,,,
pot6,0.8870392,2.3162417,0.643417,1.6466653,early,uninvaded,,,,,,
pot8,0.8941486,2.4830363,0.7502583,1.9866578,none,uninvaded,,,,,,
pot9,0.8950617,2.3221879,0.6211851,1.6452406,early,uninvaded,,,,,,
pot10,0.8894174,2.3186286,0.7758132,2.006588,normal,uninvaded,,,,,,
pot11,0.8888889,2.2815373,0.804774,2.0309048,normal,invaded,,,,,,
pot12,0.8595679,2.1509449,0.7965088,1.9869528,none,invaded,,,,,,
pot14,0.8650138,2.2808891,0.8049182,2.1159502,early,uninvaded,,,,,,
pot15,0.8828125,2.3933121,0.8470784,2.3349225,normal,invaded,,,,,,
pot16,0.845,2.2700045,0.5964605,1.6950543,none,invaded,,,,,,
pot17,0.867846,2.1727641,0.5983737,1.7112267,none,uninvaded,,,,,,
pot18,0.8911111,2.3677367,0.5634755,1.4802129,normal,uninvaded,,,,,,
pot19,0.8554688,2.1145204,0.7546488,1.8628864,normal,uninvaded,,,,,,
pot20,0.85378,2.2315095,0.5967347,1.4988028,none,invaded,,,,,,
pot21,0.8871173,2.508064,0.741376,2.0599959,early,uninvaded,,,,,,
pot22,0.8994083,2.3778116,0.8142222,2.0677281,normal,invaded,,,,,,
pot23,0.9060642,2.5278847,0.8832,2.5498012,none,uninvaded,,,,,,
pot24,0.9,2.4223689,0.6095041,1.5664547,early,invaded,,,,,,
pot25,0.8010974,1.7964216,0.7173155,1.7631842,early,invaded,,,,,,
pot26,0.9027778,2.4849066,0.7008102,1.9120769,normal,invaded,,,,,,
pot27,0.7692308,1.6052071,0.774656,1.9359986,normal,uninvaded,,,,,,
pot28,0.8777778,2.2827727,0.7568968,1.899395,early,uninvaded,,,,,,
pot29,0.8429752,1.972247,0.5093491,1.3431698,none,invaded,,,,,,
pot30,0.9072544,2.5487986,0.8637716,2.509077,none,uninvaded,,,,,,
